Schema,Table Name,Row count,Used Space in MB,,Total Space in MB,Partition Field,Note
dbo,DS2IndexAddlData,1061333413,35902.14,1.01,35903.15,ValueDate,Year
dbo,RKDPIT2FndStdFinVal,815563052,35240.49,1.25,35241.74,PerEndDt,Year
dbo,RKDFndStdFinVal,750132445,34293.7,2.23,34295.93,PerEndDt,Year
dbo,RKDFndCSFFinVal,645865153,29972.06,4.22,29976.28,PerEndDt,Year
dbo,TRESumPer,158104704,22111.17,0.69,22111.86,EffectiveDate,Year
dbo,RDCRICData,362056538,20391.11,2.45,20393.55,StartDate,Year
dbo,RDCQuoteInfo,225080870,19157.66,2.55,19160.21,,Single column
dbo,PermRICData,297003747,14498.19,2.78,14500.97,StartDate,Year
dbo,DS2IndexData,288258578,13659.1,0.42,13659.52,ValueDate,Year
dbo,RKDPITFndStdFinVal,343166872,10971.34,0.01,10971.34,N/A,Table not found
dbo,PermQuoteRef,162164678,10203.32,3.7,10207.02,N/A,Single column
dbo,TRESmartSumPer,75740487,8880.29,0.7,8880.98,EffectiveDate,Year
dbo,RDCInstrInfo,110752158,8344.14,1.61,8345.75,,Single column
dbo,PermQuoteInfo,162164678,8187.58,3.56,8191.14,,Single column
dbo,PermInstrRef,70900858,5349.38,2.83,5352.2,,Single column
dbo,RKDFndCSFItemSub,46746730,3593.34,0.49,3593.83,,3 column by Range
dbo,RKDFndBGSegVal,91694401,3558.44,0.38,3558.82,PerEndDt,Year
dbo,RKDFndCRASCSpec,35951471,2158.99,1.13,2160.12,,2 column by Range
dbo,PermInstrInfo,70900858,1784.34,2.64,1786.98,,Single column
dbo,PermOrgInfo,11942495,1604.2,1.8,1605.99,,Single column
dbo,RKDPIT2FndStdStmt,23272927,1530.16,0.12,1530.28,PerEndDt,Year
dbo,RKDPIT2FndCmpIssData,37858440,1484.88,0.08,1484.96,PointStartDt,Year
dbo,RKDPIT2FndCmpData,27268646,1314.16,0.06,1314.22,PointStartDt,Year
dbo,RKDPIT2FndPrc,11296747,1290.08,0.15,1290.23,PrcEndDt,Year
dbo,RKDFndCSFStmt,15257425,1264.28,0.41,1264.69,PerEndDt,Year
dbo,RKDFndStdStmt,15279463,1263.88,0.38,1264.27,PerEndDt,Year
dbo,RDCOrgInfo,6444179,995.98,1.2,997.18,,
dbo,RKDPIT2FndExchRate,27954872,912.05,3.36,915.41,,
